,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
12,13.0,Pathan,https://www.imdb.com/title/tt12844910/,2023,Action,Siddharth Anand,6.6,"['Shah Rukh Khan' 'Deepika Padukone' 'John Abraham' 'Dimple Kapadia'
 'Ashutosh Rana' 'Salman Khan' 'Aakash Bhatija' 'Prakash Belawadi'
 'Viraf Patel' 'Shaji Chaudhary' 'Diganta Hazarika' 'Rajat Kaul'
 'Prem Jhangiani' 'Grace Girdhar' 'Ashutosh Singh' 'Amanpreet Hundal'
 'Nikhat Khan' 'Bashir Lone']"
13,14.0,Puss in Boots: The Last Wish,https://www.imdb.com/title/tt3915174/,2022,Animation,Joel Crawford,7.9,"['Antonio Banderas' 'Salma Hayek' 'Harvey Guillen' 'Florence Pugh'
 'Olivia Colman' 'Ray Winstone' 'Samson Kayo' 'John Mulaney'
 'Wagner Moura' ""Da'Vine Joy Randolph"" 'Anthony Mendez' 'Kevin McCann'
 'Bernardo De Paula' 'Betsy Sodaro' 'Artemis Pebdani' 'Conrad Vernon'
 'Cody Cameron' 'Kailey Crawford']"
14,15.0,Plane,https://www.imdb.com/title/tt5884796/,2023,Action,Jean-François Richet,6.6,"['Gerard Butler' 'Mike Colter' 'Tony Goldwyn' 'Yoson An'
 'Evan Dane Taylor' 'Paul Ben-Victor' 'Daniella Pineda' 'Lilly Krug'
 'Kelly Gale' 'Otis Winston' 'Angel Fabian Rivera' 'Fernando Chang'
 'Modesto Lacen' 'Joey Slotnick' 'Rose Eshay' 'Ricky Robles Cruz'
 'Jessica Nam' 'Quinn McPherson']"
15,16.0,Tár,https://www.imdb.com/title/tt14444726/,2022,Drama,Todd Field,7.6,"['Cate Blanchett' 'Noemie Merlant' 'Nina Hoss' 'Sophie Kauer'
 'Adam Gopnik' 'Marc-Martin Straub' 'Egon Brandstetter' 'Ylva Pollak'
 'Paula Forst' 'Sylvia Flote' 'Sydney Lemmon' 'Mark Strong'
 'Nicolas Hopchet' 'Zethphan D. Smith-Gneist' 'Kitty Watson'
 'Alec Baldwin' 'Jessica Hansen' 'Mila Bogojevic']"
16,17.0,The Fabelmans,https://www.imdb.com/title/tt14208870/,2022,Drama,Steven Spielberg,7.7,"['Michelle Williams' 'Gabriel LaBelle' 'Paul Dano' 'Judd Hirsch'
 'Seth Rogen' 'Mateo Zoryan' 'Keeley Karsten' 'Alina Brace'
 'Julia Butters' 'Birdie Borria' 'Sophia Kopera' 'Jeannie Berlin'
 'Robin Bartlett' 'Sam Rechner' 'Oakes Fegley' 'Chloe East'
 'Isabelle Kusman' 'Chandler Lovelle']"
17,18.0,Glass Onion: A Knives Out Mystery,https://www.imdb.com/title/tt11564570/,2022,Comedy,Rian Johnson,7.2,"['Daniel Craig' 'Edward Norton' 'Kate Hudson' 'Dave Bautista'
 'Janelle Monae' 'Kathryn Hahn' 'Leslie Odom Jr.' 'Jessica Henwick'
 'Madelyn Cline' 'Noah Segan' 'Jackie Hoffman' 'Dallas Roberts'
 'Ethan Hawke' 'Hugh Grant' 'Stephen Sondheim' 'Natasha Lyonne'
 'Kareem Abdul-Jabbar' 'Serena Williams']"
18,19.0,Elvis,https://www.imdb.com/title/tt3704428/,2022,Biography,Baz Luhrmann,7.4,"['Tom Hanks' 'Austin Butler' 'Olivia DeJonge' 'Helen Thomson'
 'Richard Roxburgh' 'Kelvin Harrison Jr.' 'David Wenham'
 'Kodi Smit-McPhee' 'Luke Bracey' 'Dacre Montgomery' 'Leon Ford'
 'Gary Clark Jr.' 'Yola' 'Natasha Bassett' 'Xavier Samuel' 'Adam Dunn'
 'Alton Mason' 'Shonka Dukureh']"
19,20.0,The Whale,https://www.imdb.com/title/tt13833688/,2022,Drama,Darren Aronofsky,8.0,"['Brendan Fraser' 'Sadie Sink' 'Ty Simpkins' 'Hong Chau' 'Samantha Morton'
 'Sathya Sridharan' 'Jacey Sink' 'Wilhelm Schalaudek']"
20,21.0,All Quiet on the Western Front,https://www.imdb.com/title/tt1016150/,2022,Action,Edward Berger,7.8,"['Felix Kammerer' 'Albrecht Schuch' 'Aaron Hilmer' 'Moritz Klaus'
 'Adrian Grunewald' 'Edin Hasanovic' 'Daniel Bruhl'
 'Thibault de Montalembert' 'Devid Striesow' 'Andreas Dohler'
 'Sebastian Hulk' 'Luc Feit' 'Michael Wittenborn' 'Michael Stange'
 'Sascha Nathan' 'Tobias Langhoff' 'Anton von Lucke' 'Michael Pitthan']"
21,22.0,Triangle of Sadness,https://www.imdb.com/title/tt7322224/,2022,Comedy,Ruben Östlund,7.5,"['Thobias Thorwid' 'Harris Dickinson' 'Charlbi Dean' 'Jiannis Moustos'
 'Vicki Berlin' 'Dolly De Leon' 'Timoleon Gketsos' 'Alicia Eriksson'
 'Woody Harrelson' 'Zlatko Buric' 'Sunnyi Melles' 'Carolina Gynning'
 'Iris Berben' 'Amanda Walker' 'Oliver Ford Davies' 'Ralph Schicha'
 'Henrik Dorsin' 'Arvin Kananian']"
