,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
136,137.0,El Laberinto Del Fauno,https://www.imdb.com/title/tt0457430/,2006,Drama,Guillermo del Toro,8.2,"['Ivana Baquero' 'Ariadna Gil' 'Sergi Lopez' 'Maribel Verdu' 'Doug Jones'
 'Alex Angulo' 'Manolo Solo' 'Cesar Vea' 'Roger Casamajor' 'Ivan Massague'
 'Gonzalo Uriarte' 'Eusebio Lazaro' 'Francisco Vidal' 'Juanjo Cucalon'
 'Lina Mira' 'Mario Zorrilla' 'Sebastian Haro' 'Mila Espiga']"
137,138.0,The Truman Show,https://www.imdb.com/title/tt0120382/,1998,Comedy,Peter Weir,8.2,"['Jim Carrey' 'Ed Harris' 'Laura Linney' 'Noah Emmerich'
 'Natascha McElhone' 'Holland Taylor' 'Brian Delate' 'Blair Slater'
 'Peter Krause' 'Heidi Schanz' 'Ron Taylor' 'Don Taylor' 'Ted Raymond'
 'Judy Clayton' 'Fritz Dominique' 'Angel Schmiedt' 'Nastassja Schmiedt'
 'Muriel Moore']"
138,139.0,There Will Be Blood,https://www.imdb.com/title/tt0469494/,2007,Drama,Paul Thomas Anderson,8.2,"['Daniel Day-Lewis' 'Paul Dano' 'Ciaran Hinds' 'Martin Stringer'
 'Matthew Braden Stringer' 'Jacob Stringer' 'Joseph Mussey'
 'Barry Del Sherman' 'Harrison Taylor' 'Stockton Taylor'
 'Paul F. Tompkins' 'Dillon Freasier' 'Kevin Breznahan' 'Jim Meskimen'
 'Erica Sullivan' 'Randall Carver' 'Coco Leigh' 'Sydney McCallister']"
139,140.0,Unforgiven,https://www.imdb.com/title/tt0105695/,1992,Drama,Clint Eastwood,8.2,"['Clint Eastwood' 'Gene Hackman' 'Morgan Freeman' 'Richard Harris'
 'Jaimz Woolvett' 'Saul Rubinek' 'Frances Fisher' 'Anna Thomson'
 'David Mucci' 'Rob Campbell' 'Anthony James' 'Tara Frederick'
 'Beverley Elliott' 'Liisa Repo-Martell' 'Josie Smith' 'Shane Meier'
 'Aline Levasseur' 'Cherrilene Cardinal']"
140,141.0,The Sixth Sense,https://www.imdb.com/title/tt0167404/,1999,Drama,M. Night Shyamalan,8.2,"['Bruce Willis' 'Haley Joel Osment' 'Toni Collette' 'Olivia Williams'
 'Trevor Morgan' 'Donnie Wahlberg' 'Peter Anthony Tambakis'
 'Jeffrey Zubernis' 'Bruce Norris' 'Glenn Fitzgerald' 'Greg Wood'
 'Mischa Barton' 'Angelica Page' 'Lisa Summerour' 'Firdous Bamji'
 'Samia Shoaib' 'Hayden Saunier' 'Janis Dardaris']"
141,142.0,Shutter Island,https://www.imdb.com/title/tt1130884/,2010,Mystery,Martin Scorsese,8.2,"['Leonardo DiCaprio' 'Emily Mortimer' 'Mark Ruffalo' 'Ben Kingsley'
 'Max von Sydow' 'Michelle Williams' 'Patricia Clarkson'
 'Jackie Earle Haley' 'Ted Levine' 'John Carroll Lynch' 'Elias Koteas'
 'Robin Bartlett' 'Christopher Denham' 'Nellie Sciutto' 'Joseph Sikora'
 'Curtiss Cook' 'Raymond Anthony Thomas' 'Joseph McKenna']"
142,143.0,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,2001,Biography,Ron Howard,8.2,"['Russell Crowe' 'Ed Harris' 'Jennifer Connelly' 'Christopher Plummer'
 'Paul Bettany' 'Adam Goldberg' 'Josh Lucas' 'Anthony Rapp'
 'Jason Gray-Stanford' 'Judd Hirsch' 'Austin Pendleton' 'Vivien Cardone'
 'Jillie Simon' 'Victor Steinbach' 'Tanya Clarke' 'Thomas F. Walsh'
 'Jesse Doran' 'Kent Cassella']"
143,144.0,Jurassic Park,https://www.imdb.com/title/tt0107290/,1993,Action,Steven Spielberg,8.2,"['Sam Neill' 'Laura Dern' 'Jeff Goldblum' 'Richard Attenborough'
 'Bob Peck' 'Martin Ferrero' 'BD Wong' 'Joseph Mazzello' 'Ariana Richards'
 'Samuel L. Jackson' 'Wayne Knight' 'Gerald R. Molen' 'Miguel Sandoval'
 'Cameron Thor' 'Christopher John Fields' 'Whit Hertford' 'Dean Cundey'
 'Jophery C. Brown']"
144,145.0,Yôjinbô,https://www.imdb.com/title/tt0055630/,1961,Action,Akira Kurosawa,8.2,"['Toshiro Mifune' 'Eijiro Tono' 'Tatsuya Nakadai' 'Yoko Tsukasa'
 'Isuzu Yamada' 'Daisuke Kato' 'Seizaburo Kawazu' 'Takashi Shimura'
 'Hiroshi Tachikawa' 'Yosuke Natsuki' 'Kamatari Fujiwara' 'Ikio Sawamura'
 'Atsushi Watanabe' 'Susumu Fujita' 'Kyu Sazanka' 'Ko Nishimura'
 'Takeshi Kato' 'Ichiro Nakatani']"
145,146.0,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,1948,Adventure,John Huston,8.2,"['Humphrey Bogart' 'Walter Huston' 'Tim Holt' 'Bruce Bennett'
 'Barton MacLane' 'Alfonso Bedoya' 'Arturo Soto Rangel' 'Manuel Donde'
 'Jose Torvay' 'Margarito Luna' 'Robert Blake' 'Guillermo Calles'
 'Roberto Canedo' 'Spencer Chan' 'Jacqueline Dalya' 'Ralph Dunn'
 'Ernesto Escoto' 'Pat Flaherty']"
146,147.0,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/,1975,Adventure,Terry Gilliam,8.2,"['Graham Chapman' 'John Cleese' 'Eric Idle' 'Terry Gilliam' 'Terry Jones'
 'Michael Palin' 'Connie Booth' 'Carol Cleveland' 'Neil Innes'
 'Bee Duffell' 'John Young' 'Rita Davies' 'Avril Stewart' 'Sally Kinghorn'
 'Mark Zycon' 'Elspeth Cameron' 'Mitsuko Forstater' 'Sandy Johnson']"
147,148.0,The Great Escape,https://www.imdb.com/title/tt0057115/,1963,Adventure,John Sturges,8.2,"['Steve McQueen' 'James Garner' 'Richard Attenborough' 'Charles Bronson'
 'James Donald' 'Donald Pleasence' 'James Coburn' 'Hannes Messemer'
 'David McCallum' 'Gordon Jackson' 'John Leyton' 'Angus Lennie'
 'Nigel Stock' 'Robert Graf' 'Jud Taylor' 'Hans Reiser' 'Harry Riebauer'
 'William Russell']"
148,149.0,No Country for Old Men,https://www.imdb.com/title/tt0477348/,2007,Crime,Ethan Coen,8.2,"['Tommy Lee Jones' 'Javier Bardem' 'Josh Brolin' 'Woody Harrelson'
 'Kelly Macdonald' 'Garret Dillahunt' 'Tess Harper' 'Barry Corbin'
 'Stephen Root' 'Rodger Boyce' 'Beth Grant' 'Ana Reeder' 'Kit Gwin'
 'Zach Hopkins' 'Chip Love' 'Eduardo Antonio Garcia' 'Gene Jones'
 'Myk Watford']"
149,150.0,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,2021,Action,Jon Watts,8.2,"['Tom Holland' 'Zendaya' 'Benedict Cumberbatch' 'Jacob Batalon'
 'Jon Favreau' 'Jamie Foxx' 'Willem Dafoe' 'Alfred Molina' 'Benedict Wong'
 'Tony Revolori' 'Marisa Tomei' 'Andrew Garfield' 'Tobey Maguire'
 'Angourie Rice' 'Arian Moayed' 'Paula Newsome' 'Hannibal Buress'
 'Martin Starr']"
150,151.0,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,2003,Action,Quentin Tarantino,8.2,"['Uma Thurman' 'David Carradine' 'Daryl Hannah' 'Michael Madsen'
 'Lucy Liu' 'Vivica A. Fox' 'Julie Dreyfus' 'Chiaki Kuriyama'
 ""Shin'ichi Chiba"" 'Chia-Hui Liu' 'Michael Parks' 'Michael Bowen'
 'Jun Kunimura' 'Kenji Oba' 'Yuki Kazamatsuri' 'James Parks'
 'Sakichi Sato' 'Jonathan Loughran']"
151,152.0,Rashōmon,https://www.imdb.com/title/tt0042876/,1950,Crime,Akira Kurosawa,8.2,"['Toshiro Mifune' 'Machiko Kyo' 'Masayuki Mori' 'Takashi Shimura'
 'Minoru Chiaki' 'Kichijiro Ueda' 'Noriko Honma' 'Daisuke Kato']"
152,153.0,The Thing,https://www.imdb.com/title/tt0084787/,1982,Horror,John Carpenter,8.2,"['Kurt Russell' 'Wilford Brimley' 'Keith David' 'Richard Masur'
 'T.K. Carter' 'David Clennon' 'Richard Dysart' 'Charles Hallahan'
 'Peter Maloney' 'Donald Moffat' 'Joel Polis' 'Thomas G. Waites'
 'Norbert Weisser' 'Larry Franco' 'Nate Irwin' 'William Zeman'
 'Adrienne Barbeau' 'John Carpenter']"
153,154.0,Finding Nemo,https://www.imdb.com/title/tt0266543/,2003,Animation,Andrew Stanton,8.2,"['Albert Brooks' 'Ellen DeGeneres' 'Alexander Gould' 'Willem Dafoe'
 'Brad Garrett' 'Allison Janney' 'Austin Pendleton' 'Stephen Root'
 'Vicki Lewis' 'Joe Ranft' 'Geoffrey Rush' 'Andrew Stanton'
 'Elizabeth Perkins' 'Nicholas Bird' 'Bob Peterson' 'Barry Humphries'
 'Eric Bana' 'Bruce Spence']"
154,155.0,The Elephant Man,https://www.imdb.com/title/tt0080678/,1980,Biography,David Lynch,8.2,"['Anthony Hopkins' 'John Hurt' 'Anne Bancroft' 'John Gielgud'
 'Wendy Hiller' 'Freddie Jones' 'Michael Elphick' 'Hannah Gordon'
 'Helen Ryan' 'John Standing' 'Dexter Fletcher' 'Lesley Dunlop'
 'Phoebe Nicholls' 'Pat Gorman' 'Claire Davenport' 'Orla Pederson'
 'Patsy Smart' 'Frederick Treves']"
155,156.0,Chinatown,https://www.imdb.com/title/tt0071315/,1974,Drama,Roman Polanski,8.2,"['Jack Nicholson' 'Faye Dunaway' 'John Huston' 'Perry Lopez'
 'John Hillerman' 'Darrell Zwerling' 'Diane Ladd' 'Roy Jenson'
 'Roman Polanski' 'Richard Bakalyan' 'Joe Mantell' 'Bruce Glover'
 'Nandu Hinds' ""James O'Rear"" 'James Hong' 'Beulah Quo' 'Jerry Fujikawa'
 'Belinda Palmer']"
156,157.0,Raging Bull,https://www.imdb.com/title/tt0081398/,1980,Biography,Martin Scorsese,8.2,"['Robert De Niro' 'Cathy Moriarty' 'Joe Pesci' 'Frank Vincent'
 'Nicholas Colasanto' 'Theresa Saldana' 'Mario Gallo' 'Frank Adonis'
 'Joseph Bono' 'Frank Topham' 'Lori Anne Flax' 'Charles Scorsese'
 'Don Dunphy' 'Bill Hanrahan' 'Rita Bennett' 'James V. Christy'
 'Bernie Allen' 'Floyd Anderson']"
157,158.0,V for Vendetta,https://www.imdb.com/title/tt0434409/,2005,Action,James McTeigue,8.2,"['Hugo Weaving' 'Natalie Portman' 'Rupert Graves' 'Stephen Rea'
 'Stephen Fry' 'John Hurt' 'Tim Pigott-Smith' 'Roger Allam' 'Ben Miles'
 'Sinead Cusack' 'Natasha Wightman' 'John Standing' 'Eddie Marsan'
 'Clive Ashborn' 'Emma Field-Rayner' 'Ian Burfield' 'Mark Phoenix'
 'Alister Mazzotti']"
158,159.0,Gone with the Wind,https://www.imdb.com/title/tt0031381/,1939,Drama,Victor Fleming,8.2,"['Clark Gable' 'Vivien Leigh' 'Thomas Mitchell' ""Barbara O'Neil""
 'Evelyn Keyes' 'Ann Rutherford' 'George Reeves' 'Fred Crane'
 'Hattie McDaniel' 'Oscar Polk' 'Butterfly McQueen' 'Victor Jory'
 'Everett Brown' 'Howard Hickman' 'Alicia Rhett' 'Leslie Howard'
 'Olivia de Havilland' 'Rand Brooks']"
159,160.0,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,1998,Action,Guy Ritchie,8.2,"['Jason Flemyng' 'Dexter Fletcher' 'Nick Moran' 'Jason Statham'
 'Steven Mackintosh' 'Nicholas Rowe' 'Nick Marcq' 'Charles Forbes'
 'Vinnie Jones' 'Lenny McLean' 'Peter McNicholl' 'P.H. Moriarty'
 'Frank Harper' 'Steve Sweeney' 'Huggy Leaver' 'Ronnie Fox' 'Tony McMahon'
 'Stephen Marcus']"
160,161.0,Inside Out,https://www.imdb.com/title/tt2096673/,2015,Animation,Pete Docter,8.2,"['Amy Poehler' 'Bill Hader' 'Lewis Black' 'Mindy Kaling' 'Phyllis Smith'
 'Richard Kind' 'Kaitlyn Dias' 'Diane Lane' 'Kyle MacLachlan'
 'Paula Poundstone' 'Bobby Moynihan' 'Paula Pell' 'Dave Goelz' 'Frank Oz'
 'Josh Cooley' 'Flea' 'John Ratzenberger' 'Carlos Alazraqui']"
161,162.0,Dial M for Murder,https://www.imdb.com/title/tt0046912/,1954,Crime,Alfred Hitchcock,8.2,"['Ray Milland' 'Grace Kelly' 'Robert Cummings' 'John Williams'
 'Anthony Dawson' 'Leo Britt' 'Patrick Allen' 'George Leigh'
 'George Alderson' 'Robin Hughes' 'Richard Bender' 'Robin Sanders Clark'
 'Jack Cunningham' 'Robert Dobson' 'Guy Doleman' 'Bess Flowers'
 'Robert Garvin' 'Herschel Graham']"
162,163.0,El Secreto De Sus Ojos,https://www.imdb.com/title/tt1305806/,2009,Drama,Juan José Campanella,8.2,"['Ricardo Darin' 'Soledad Villamil' 'Pablo Rago' 'Carla Quevedo'
 'Javier Godino' 'Barbara Palladino' 'Rudy Romano' 'Alejandro Abelenda'
 'Mario Alarcon' 'Guillermo Francella' 'Sebastian Blanco'
 'Mariano Argento' 'Jose Luis Gioia' 'Juan Jose Ortiz' 'Kiko Cerone'
 'Fernando Pardo' 'Maximiliano Trento' 'Sergio Santana']"
163,164.0,Hauru No Ugoku Shiro,https://www.imdb.com/title/tt0347149/,2004,Animation,Hayao Miyazaki,8.2,"['Chieko Baisho' 'Takuya Kimura' 'Tatsuya Gashuin' 'Akihiro Miwa'
 'Ryunosuke Kamiki' 'Mitsunori Isaki' 'Yo Oizumi' 'Akio Otsuka'
 'Daijiro Harada' 'Haruko Kato' 'Jean Simmons' 'Christian Bale'
 'Lauren Bacall' 'Blythe Danner' 'Emily Mortimer' 'Josh Hutcherson'
 'Billy Crystal' 'Jena Malone']"
164,165.0,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,2017,Comedy,Martin McDonagh,8.1,"['Frances McDormand' 'Woody Harrelson' 'Sam Rockwell' 'Caleb Landry Jones'
 'Kerry Condon' 'Alejandro Barrios' 'Clarke Peters' 'Darrell Britt-Gibson'
 'Abbie Cornish' 'Riya May Atwood' 'Selah Atwood' 'Lucas Hedges'
 'Zeljko Ivanek' 'Amanda Warren' 'Malaya Rivera Drew' 'Sandy Martin'
 'Peter Dinklage' 'Christopher Berry']"
165,166.0,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,1957,Adventure,David Lean,8.2,"['William Holden' 'Alec Guinness' 'Jack Hawkins' 'Sessue Hayakawa'
 'James Donald' 'Geoffrey Horne' 'Andre Morell' 'Peter Williams'
 'John Boxer' 'Percy Herbert' 'Harold Goodwin' 'Ann Sears'
 'Heihachiro Okawa' 'Keiichiro Katsumoto' 'M.R.B. Chakrabandhu'
 'Vilaiwan Seeboonreaung' 'Ngamta Suphaphongs' 'Javanart Punynchoti']"
166,167.0,Trainspotting,https://www.imdb.com/title/tt0117951/,1996,Drama,Danny Boyle,8.1,"['Ewan McGregor' 'Ewen Bremner' 'Jonny Lee Miller' 'Kevin McKidd'
 'Robert Carlyle' 'Kelly Macdonald' 'Peter Mullan' 'James Cosmo'
 'Eileen Nicholas' 'Susan Vidler' 'Pauline Lynch' 'Shirley Henderson'
 'Stuart McQuarrie' 'Irvine Welsh' 'Dale Winton' 'Keith Allen'
 'Kevin Allen' 'Annie Louise Ross']"
167,168.0,Prisoners,https://www.imdb.com/title/tt1392214/,2013,Crime,Denis Villeneuve,8.1,"['Hugh Jackman' 'Jake Gyllenhaal' 'Viola Davis' 'Melissa Leo'
 'Maria Bello' 'Terrence Howard' 'Paul Dano' 'Dylan Minnette' 'Zoe Soul'
 'Erin Gerasimovich' 'Kyla-Drew' 'Wayne Duvall' 'Len Cariou'
 'David Dastmalchian' 'Brad James' 'Anthony Reynolds'
 'Robert C. Treveiler' 'Sandra Ellis Lafferty']"
