,image_src,anchor_tag_links
20,"https://m.media-amazon.com/images/M/MV5BM2Q3MmQzODctZDJhMi00NGMyLWI4M2YtZDkwODdiOGZkMGRjXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/oscars/?ref_=nv_ev_csegosc
21,"https://m.media-amazon.com/images/M/MV5BOTVhNzE0ZTktZDllOS00NmRiLTkzZGEtOWYxZDI2MGQxOGYzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._CR78,132,3393,1909_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.comhttps://m.imdb.com/feature/bestpicture/?ref_=nv_ch_osc
22,"https://m.media-amazon.com/images/M/MV5BMjM2MTA5NjIwNV5BMl5BanBnXkFtZTgwNjI2OTMxNTM@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.comhttps://www.imdb.com/search/title/?count=100&groups=oscar_best_picture_winners&sort=year%2Cdesc&ref_=nv_ch_osc
23,"https://m.media-amazon.com/images/M/MV5BYTI4MTVlOGEtMDE4MC00ZmYzLTg0ZGItM2ZmY2Y4NzcyYzEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL40_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/sundance/?ref_=nv_ev_csegsun
24,"https://m.media-amazon.com/images/M/MV5BZGUzYTI3M2EtZmM0Yy00NGUyLWI4ODEtN2Q3ZGJlYzhhZjU3XkEyXkFqcGdeQXVyNTM0OTY1OQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/awards-central/independent-spirit-awards/?ref_=nv_ev_csegisa
25,"https://m.media-amazon.com/images/M/MV5BOGUxMDMzNDQtYmU4NC00MjlmLWI3YWYtNTc2MGRhYjQ5ZmY5XkEyXkFqcGdeQWpnYW1i._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/imdbpicks/blackhistorymonth/?ref_=nv_ev_csegbhm
26,"https://m.media-amazon.com/images/M/MV5BOWE2ZmIxZjgtNDczZS00OWIxLWI2MWUtY2Y4ODIyYWViMDM4XkEyXkFqcGdeQXVyODQ4Mjc2NDM@._V1_QL75_UX140_CR0,21,140,207_.jpg",https://www.imdb.com/sxsw/?ref_=nv_ev_csegsxsw
27,"https://m.media-amazon.com/images/M/MV5BZGE4NmYwZDktZDI4Mi00NGRhLWJkNzAtYTQxYWNmYmNlOTk4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._CR18,15,1783,1003_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/starmeterawards/?ref_=nv_ev_sma
28,"https://m.media-amazon.com/images/M/MV5BYjQ4MWQ4YWEtZDI0NS00MGEzLTk2NmUtMmY0NThmNzgwNGFkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/awards-central/?ref_=nv_ev_csegawds
29,"https://m.media-amazon.com/images/M/MV5BN2Q2OWZiNTktMzg3Yy00NjEwLTk4MGUtMThkZTA4ZmJlODMwXkEyXkFqcGdeQXZ3ZXNsZXk@._CR206,149,1387,780_QL75_UY281_CR0,0,500,281_.jpg",https://www.imdb.com/festival-central/?ref_=nv_ev_fc
